nr	nv	nt	capacity
5	16	1	100

node	x	y	a	b	load
p0	45	21	0	999	23
p1	57	87	0	999	31
p2	41	41	0	999	41
p3	3	61	0	999	51
p4	85	80	0	999	47
d0	0	89	0	999	-23
d1	85	5	0	999	-31
d2	17	25	0	999	-41
d3	86	94	0	999	-51
d4	71	90	0	999	-47
o0	95	67	0	999	0
o1	23	0	0	999	0
o2	58	3	0	999	0
o3	79	87	0	999	0
o4	62	52	0	999	0
o5	33	11	0	999	0
o6	20	80	0	999	0
o7	4	77	0	999	0
o8	95	34	0	999	0
o9	35	83	0	999	0
o10	43	30	0	999	0
o11	99	13	0	999	0
o12	39	93	0	999	0
o13	11	90	0	999	0
o14	43	81	0	999	0
o15	4	8	0	999	0
e0	11	82	0	999	0
e1	10	3	0	999	0
e2	76	93	0	999	0
e3	74	29	0	999	0
e4	10	33	0	999	0
e5	46	19	0	999	0
e6	90	67	0	999	0
e7	62	9	0	999	0
e8	93	19	0	999	0
e9	92	8	0	999	0
e10	99	21	0	999	0
e11	37	15	0	999	0
e12	8	71	0	999	0
e13	30	37	0	999	0
e14	32	43	0	999	0
e15	84	85	0	999	0
t0	36	16	0	999	0
