nr	nv	nt	capacity
12	2	2	100

node	x	y	a	b	load
p0	53	99	0	999	30
p1	63	36	0	999	15
p2	4	17	0	999	44
p3	32	91	0	999	76
p4	93	38	0	999	95
p5	85	87	0	999	16
p6	38	44	0	999	71
p7	88	41	0	999	71
p8	86	30	0	999	16
p9	75	24	0	999	88
p10	89	0	0	999	42
p11	58	56	0	999	53
d0	78	24	0	999	-30
d1	79	30	0	999	-15
d2	19	54	0	999	-44
d3	40	48	0	999	-76
d4	60	49	0	999	-95
d5	38	93	0	999	-16
d6	20	96	0	999	-71
d7	17	59	0	999	-71
d8	26	46	0	999	-16
d9	95	37	0	999	-88
d10	9	56	0	999	-42
d11	23	34	0	999	-53
o0	83	27	0	999	0
o1	52	32	0	999	0
e0	4	62	0	999	0
e1	34	50	0	999	0
t0	10	25	0	999	0
t1	73	85	0	999	0
