Instance	Status	Objective	Gap	Time	Model
PDPT-R5-K2-T1-0.txt	OPTIMAL	453.46	0.000000	166.749763	Rais
PDPT-R5-K2-T1-0.txt	OPTIMAL	453.46	0.000000	0.843559	Lyu
PDPT-R5-K2-T1-1.txt	OPTIMAL	578.00	0.000000	1844.341129	Rais
PDPT-R5-K2-T1-1.txt	OPTIMAL	578.00	0.000000	0.187458	Lyu
PDPT-R5-K2-T1-2.txt	OPTIMAL	379.81	0.000000	2.347307	Rais
PDPT-R5-K2-T1-2.txt	OPTIMAL	379.81	0.000000	0.062456	Lyu
PDPT-R5-K2-T1-3.txt	OPTIMAL	447.55	0.000000	256.696568	Rais
PDPT-R5-K2-T1-3.txt	OPTIMAL	447.55	0.000000	0.249943	Lyu
PDPT-R5-K2-T1-4.txt	OPTIMAL	536.86	0.000000	36.462151	Rais
PDPT-R5-K2-T1-4.txt	OPTIMAL	536.86	0.000000	0.078108	Lyu
PDPT-R5-K2-T1-5.txt	OPTIMAL	571.30	0.000000	11.472498	Rais
PDPT-R5-K2-T1-5.txt	OPTIMAL	571.30	0.000000	0.031267	Lyu
PDPT-R5-K2-T1-6.txt	OPTIMAL	398.17	0.000000	18.437435	Rais
PDPT-R5-K2-T1-6.txt	OPTIMAL	398.17	0.000000	0.078085	Lyu
PDPT-R5-K2-T1-7.txt	OPTIMAL	302.46	0.000000	2.103800	Rais
PDPT-R5-K2-T1-7.txt	OPTIMAL	302.46	0.000000	0.062464	Lyu
PDPT-R5-K2-T1-8.txt	OPTIMAL	473.08	0.000000	1.837013	Rais
PDPT-R5-K2-T1-8.txt	OPTIMAL	473.08	0.000000	0.062464	Lyu
PDPT-R5-K2-T1-9.txt	OPTIMAL	540.30	0.000000	403.038935	Rais
PDPT-R5-K2-T1-9.txt	OPTIMAL	540.30	0.000000	0.078112	Lyu
PDPT-R5-K4-T1-0.txt	OPTIMAL	453.58	0.000000	92.387297	Rais
PDPT-R5-K4-T1-0.txt	OPTIMAL	453.58	0.000000	0.243898	Lyu
PDPT-R5-K4-T1-1.txt	FEASIBLE	547.58	0.022395	3600.045506	Rais
PDPT-R5-K4-T1-1.txt	OPTIMAL	547.58	0.000000	0.312407	Lyu
PDPT-R5-K4-T1-2.txt	FEASIBLE	450.74	0.072910	3600.049927	Rais
PDPT-R5-K4-T1-2.txt	OPTIMAL	450.74	0.000000	0.126329	Lyu
PDPT-R5-K4-T1-3.txt	OPTIMAL	436.01	0.000000	8.689339	Rais
PDPT-R5-K4-T1-3.txt	OPTIMAL	436.01	0.000000	0.390535	Lyu
PDPT-R5-K4-T1-4.txt	OPTIMAL	369.21	0.000000	120.909328	Rais
PDPT-R5-K4-T1-4.txt	OPTIMAL	369.21	0.000000	0.343636	Lyu
PDPT-R5-K4-T1-5.txt	FEASIBLE	576.85	0.042014	3600.091362	Rais
PDPT-R5-K4-T1-5.txt	OPTIMAL	576.85	0.000000	0.218672	Lyu
PDPT-R5-K4-T1-6.txt	FEASIBLE	493.79	0.009418	3600.049002	Rais
PDPT-R5-K4-T1-6.txt	OPTIMAL	493.79	0.000000	0.236809	Lyu
PDPT-R5-K4-T1-7.txt	OPTIMAL	434.68	0.000000	10.422108	Rais
PDPT-R5-K4-T1-7.txt	OPTIMAL	434.68	0.000000	0.109346	Lyu
PDPT-R5-K4-T1-8.txt	FEASIBLE	514.10	0.058971	3600.064571	Rais
PDPT-R5-K4-T1-8.txt	OPTIMAL	514.10	0.000000	1.361551	Lyu
PDPT-R5-K4-T1-9.txt	OPTIMAL	423.31	0.000000	269.044538	Rais
