Instance	Status	Objective	Gap	Time	Model
PDPT-R5-K2-T1-Q100-0.txt	OPTIMAL	512.7914791	0	20.29012871	Rais
PDPT-R5-K2-T1-Q100-0.txt	OPTIMAL	512.7914791	0	0.077764511	Lyu
PDPT-R5-K2-T1-Q100-1.txt	OPTIMAL	484.0614521	0	107.0248661	Rais
PDPT-R5-K2-T1-Q100-1.txt	OPTIMAL	484.0614521	0	0.158576965	Lyu
PDPT-R5-K2-T1-Q100-2.txt	OPTIMAL	499.2407183	0	57.10219574	Rais
PDPT-R5-K2-T1-Q100-2.txt	OPTIMAL	499.2407183	0	0.108678818	Lyu
PDPT-R5-K2-T1-Q100-3.txt	OPTIMAL	515.7926837	0	597.3413086	Rais
PDPT-R5-K2-T1-Q100-3.txt	OPTIMAL	515.7926837	0	0.092723846	Lyu
PDPT-R5-K2-T1-Q100-4.txt	OPTIMAL	389.4566649	0	2.67121315	Rais
PDPT-R5-K2-T1-Q100-4.txt	OPTIMAL	389.4566649	0	0.080751419	Lyu
PDPT-R5-K2-T1-Q100-5.txt	OPTIMAL	315.749465	0	2.093254089	Rais
PDPT-R5-K2-T1-Q100-5.txt	OPTIMAL	315.749465	0	0.053857803	Lyu
PDPT-R5-K2-T1-Q100-6.txt	OPTIMAL	405.5462763	0	31.67490768	Rais
PDPT-R5-K2-T1-Q100-6.txt	OPTIMAL	405.5462763	0	0.078767776	Lyu
PDPT-R5-K2-T1-Q100-7.txt	OPTIMAL	403.925958	0	23.14336395	Rais
PDPT-R5-K2-T1-Q100-7.txt	OPTIMAL	403.925958	0	0.105718613	Lyu
PDPT-R5-K2-T1-Q100-8.txt	OPTIMAL	341.6068074	0	17.88636208	Rais
PDPT-R5-K2-T1-Q100-8.txt	OPTIMAL	341.6068116	0	0.080785751	Lyu
PDPT-R5-K2-T1-Q100-9.txt	OPTIMAL	556.2148644	0	9.581220627	Rais
PDPT-R5-K2-T1-Q100-9.txt	OPTIMAL	556.2148644	0	0.124639511	Lyu
PDPT-R5-K2-T2-Q100-0.txt	OPTIMAL	428.413933	0	164.5454731	Rais
PDPT-R5-K2-T2-Q100-0.txt	OPTIMAL	428.413933	0	0.1645298	Lyu
PDPT-R5-K2-T2-Q100-1.txt	OPTIMAL	376.5747772	0	46.13179016	Rais
PDPT-R5-K2-T2-Q100-1.txt	OPTIMAL	376.5748306	0	0.585439682	Lyu
PDPT-R5-K2-T2-Q100-2.txt	OPTIMAL	346.8854228	0	9.263851166	Rais
PDPT-R5-K2-T2-Q100-2.txt	OPTIMAL	346.8854228	0	0.084775925	Lyu
PDPT-R5-K2-T2-Q100-3.txt	OPTIMAL	535.7806734	0	41.64371681	Rais
PDPT-R5-K2-T2-Q100-3.txt	OPTIMAL	535.7806734	0	0.139596939	Lyu
PDPT-R5-K2-T2-Q100-4.txt	OPTIMAL	331.5580045	0	3.20375824	Rais
PDPT-R5-K2-T2-Q100-4.txt	OPTIMAL	331.5580045	0	0.07179451	Lyu
