Instance	Status	Objective	Gap	Time	Model
data\3R-4K-4T-180L-0.txt	OPTIMAL	434.5130041546389	0	8.27994155883789	lyu
data\3R-4K-4T-180L-0.txt	OPTIMAL	434.5130041546389	0	52.45425033569336	Sampiao
data\3R-4K-4T-180L-1.txt	OPTIMAL	349.9096055010968	0	5.836921691894531	lyu
data\3R-4K-4T-180L-1.txt	OPTIMAL	349.9096055010968	0	13.354419708251953	Sampiao
data\3R-4K-4T-180L-2.txt	OPTIMAL	470.3448702307599	0	12.020978927612305	lyu
data\3R-4K-4T-180L-2.txt	OPTIMAL	470.34487023075997	0	76.25982475280762	Sampiao
data\3R-4K-4T-180L-3.txt	OPTIMAL	371.34764355828474	0	8.70391845703125	lyu
data\3R-4K-4T-180L-3.txt	OPTIMAL	371.3476435582848	0	22.818208694458008	Sampiao
data\3R-4K-4T-180L-4.txt	OPTIMAL	368.93543374795	0	8.46347427368164	lyu
data\3R-4K-4T-180L-4.txt	OPTIMAL	368.93543374795	0	14.949172973632812	Sampiao
data\3R-4K-4T-180L-5.txt	OPTIMAL	363.0607638534576	0	6.694135665893555	lyu
data\3R-4K-4T-180L-5.txt	OPTIMAL	363.06076385345756	0	22.470136642456055	Sampiao
data\3R-4K-4T-180L-6.txt	OPTIMAL	437.782190531502	0	2.271951675415039	lyu
data\3R-4K-4T-180L-6.txt	OPTIMAL	437.78219053150195	0	1.507986068725586	Sampiao
data\3R-4K-4T-180L-7.txt	OPTIMAL	435.2737293485303	0	2.2632064819335938	lyu
data\3R-4K-4T-180L-7.txt	OPTIMAL	435.2737293485303	0	3.5196075439453125	Sampiao
data\3R-4K-4T-180L-8.txt	OPTIMAL	427.500469864753	0	19.944889068603516	lyu
data\3R-4K-4T-180L-8.txt	OPTIMAL	427.500469864753	0	173.2174892425537	Sampiao
data\3R-4K-4T-180L-9.txt	OPTIMAL	458.82346747112234	0	4.451601028442383	lyu
data\3R-4K-4T-180L-9.txt	OPTIMAL	458.82346747112234	0	13.261667251586914	Sampiao
data\3R-4K-4T-180M-0.txt	OPTIMAL	225.2605817288693	0	6.227409362792969	lyu
data\3R-4K-4T-180M-0.txt	OPTIMAL	225.26055234076102	0	8.515312194824219	Sampiao
data\3R-4K-4T-180M-1.txt	OPTIMAL	331.19615517158104	0	8.517251968383789	lyu
data\3R-4K-4T-180M-1.txt	OPTIMAL	331.19615517158104	0	26.99304962158203	Sampiao
data\3R-4K-4T-180M-2.txt	OPTIMAL	316.39689870215926	0	1.5488529205322266	lyu
data\3R-4K-4T-180M-2.txt	OPTIMAL	316.39689870215926	0	0.8966121673583984	Sampiao
data\3R-4K-4T-180M-3.txt	OPTIMAL	337.8240075617753	0	5.111387252807617	lyu
data\3R-4K-4T-180M-3.txt	OPTIMAL	337.8240217478212	0	7.389312744140625	Sampiao
data\3R-4K-4T-180M-4.txt	OPTIMAL	308.2122745200708	0	1.4471473693847656	lyu
data\3R-4K-4T-180M-4.txt	OPTIMAL	308.2122745200708	0	0.8716773986816406	Sampiao
data\3R-4K-4T-180M-5.txt	OPTIMAL	319.6052917923704	0	5.676876068115234	lyu
data\3R-4K-4T-180M-5.txt	OPTIMAL	319.60529179237034	0	4.341432571411133	Sampiao
data\3R-4K-4T-180M-6.txt	OPTIMAL	354.86116114663486	0	11.982074737548828	lyu
data\3R-4K-4T-180M-6.txt	OPTIMAL	354.86116114663486	0	43.96685600280762	Sampiao
data\3R-4K-4T-180M-7.txt	OPTIMAL	309.2979905251844	0	14.225069046020508	lyu
data\3R-4K-4T-180M-7.txt	OPTIMAL	309.2979905251844	0	23.496347427368164	Sampiao
data\3R-4K-4T-180M-8.txt	OPTIMAL	326.04569275835235	0	5.797554016113281	lyu
data\3R-4K-4T-180M-8.txt	OPTIMAL	326.04569275835235	0	13.985734939575195	Sampiao
data\3R-4K-4T-180M-9.txt	OPTIMAL	480.44381915919934	0	25.02532196044922	lyu
